sample,cpu_usage,active_workers
821,100,5
822,100,5
823,100,5
824,100,5
825,100,5
826,100,5
827,100,5
828,100,5
829,100,5
830,100,5
831,75,5
832,75,5
833,75,5
834,75,5
835,75,5
836,75,5
837,75,5
838,75,5
839,75,5
840,75,5
841,75,5
842,75,5
843,75,5
844,75,5
845,75,5
846,75,5
847,75,5
848,75,5
849,75,5
850,75,5
851,90,4
852,90,4
853,90,4
854,90,4
855,90,4
856,90,4
857,90,4
858,90,4
859,90,4
860,90,4
861,90,4
862,90,4
863,90,4
864,90,4
865,90,4
866,90,4
867,90,4
868,90,4
869,90,4
870,75,5
871,75,5
872,75,5
873,75,5
874,75,5
875,75,5
876,75,5
877,75,5
878,75,5
879,75,5
880,75,5
881,75,5
882,75,5
883,75,5
884,75,5
885,75,5
886,75,5
887,75,5
888,75,5
889,75,5
890,100,5
891,100,5
892,100,5
893,100,5
894,100,5
895,100,5
896,100,5
897,100,5
898,100,5
899,100,5
900,100,5
901,100,5
902,100,5
903,100,5
904,100,5
905,100,5
906,100,5
907,100,5
908,100,5
909,100,5
910,80,3
911,80,3
912,80,3
913,80,3
914,80,3
915,80,3
916,80,3
917,80,3
918,80,3
919,80,3
920,80,3
921,80,3
922,80,3
923,80,3
924,80,3
925,80,3
926,80,3
927,80,3
928,80,3
929,90,4
930,90,4
931,90,4
932,90,4
933,90,4
934,90,4
935,90,4
936,90,4
937,90,4
938,90,4
939,90,4
940,90,4
941,90,4
942,90,4
943,90,4
944,90,4
945,90,4
946,90,4
947,90,4
948,90,4
949,80,3
950,80,3
951,80,3
952,80,3
953,80,3
954,80,3
955,80,3
956,80,3
957,80,3
958,80,3
959,80,3
960,80,3
961,80,3
962,80,3
963,80,3
964,80,3
965,80,3
966,80,3
967,80,3
968,80,3
969,100,5
970,100,5
971,100,5
972,100,5
973,100,5
974,100,5
975,100,5
976,100,5
977,100,5
978,100,5
979,100,5
980,100,5
981,100,5
982,100,5
983,100,5
984,100,5
985,100,5
986,100,5
987,100,5
988,100,5
989,100,5
990,100,5
991,100,5
992,100,5
993,100,5
994,100,5
995,100,5
996,100,5
997,100,5
998,100,5
999,100,5
1000,100,5
1001,100,5
1002,100,5
1003,100,5
1004,100,5
1005,100,5
1006,100,5
1007,100,5
1008,80,3
1009,80,3
1010,80,3
1011,80,3
1012,80,3
1013,80,3
1014,80,3
1015,80,3
1016,80,3
1017,80,3
1018,80,3
1019,80,3
1020,80,3
1021,80,3
1022,80,3
1023,80,3
1024,80,3
1025,80,3
1026,80,3
1027,80,3
1028,75,5
1029,75,5
1030,75,5
1031,75,5
1032,75,5
1033,75,5
1034,75,5
1035,75,5
1036,75,5
1037,75,5
1038,75,5
1039,75,5
1040,75,5
1041,75,5
1042,75,5
1043,75,5
1044,75,5
1045,75,5
1046,75,5
1047,75,5
1048,75,5
1049,75,5
1050,75,5
1051,75,5
1052,75,5
1053,75,5
1054,75,5
1055,75,5
1056,75,5
1057,75,5
1058,75,5
1059,75,5
1060,75,5
1061,75,5
1062,75,5
1063,75,5
1064,75,5
1065,75,5
1066,75,5
1067,75,5
1068,75,5
1069,75,5
1070,75,5
1071,75,5
1072,75,5
1073,75,5
1074,75,5
1075,75,5
1076,75,5
1077,75,5
1078,75,5
1079,75,5
1080,75,5
1081,75,5
1082,75,5
1083,75,5
1084,75,5
1085,75,5
1086,75,5
1087,90,4
1088,90,4
1089,90,4
1090,90,4
1091,90,4
1092,90,4
1093,90,4
1094,90,4
1095,90,4
1096,90,4
1097,90,4
1098,90,4
1099,90,4
1100,90,4
1101,90,4
1102,90,4
1103,90,4
1104,90,4
1105,90,4
1106,100,5
1107,100,5
1108,100,5
1109,100,5
1110,100,5
1111,100,5
1112,100,5
1113,100,5
1114,100,5
1115,100,5
1116,100,5
1117,100,5
1118,100,5
1119,100,5
1120,100,5
1121,100,5
1122,100,5
1123,100,5
1124,100,5
1125,100,5
1126,80,3
1127,80,3
1128,80,3
1129,80,3
1130,80,3
1131,80,3
1132,80,3
1133,80,3
1134,80,3
1135,80,3
1136,80,3
1137,80,3
1138,80,3
1139,80,3
1140,80,3
1141,80,3
1142,80,3
1143,80,3
1144,80,3
1145,70,2
1146,70,2
1147,70,2
1148,70,2
1149,70,2
1150,70,2
1151,70,2
1152,70,2
1153,70,2
1154,70,2
1155,70,2
1156,70,2
1157,70,2
1158,70,2
1159,70,2
1160,70,2
1161,70,2
1162,70,2
1163,70,2
1164,70,2
1165,100,5
1166,100,5
1167,100,5
1168,100,5
1169,100,5
1170,100,5
1171,100,5
1172,100,5
1173,100,5
1174,100,5
1175,100,5
1176,100,5
1177,100,5
1178,100,5
1179,100,5
1180,100,5
1181,100,5
1182,100,5
1183,100,5
1184,100,5
1185,75,5
1186,75,5
1187,75,5
1188,75,5
1189,75,5
1190,75,5
1191,75,5
1192,75,5
1193,75,5
1194,75,5
1195,75,5
1196,75,5
1197,75,5
1198,75,5
1199,75,5
1200,75,5
1201,75,5
1202,75,5
1203,75,5
1204,75,5
1205,100,5
1206,100,5
1207,100,5
1208,100,5
1209,100,5
1210,100,5
1211,100,5
1212,100,5
1213,100,5
1214,100,5
1215,100,5
1216,100,5
1217,100,5
1218,100,5
1219,100,5
1220,100,5
1221,100,5
1222,100,5
1223,100,5
1224,100,5
